Document_Title,Authors,Author_Affiliations,Publication_Title,Date_Added_To_Xplore,Publication_Year,Abstract,Author_Keywords,IEEE_Terms,INSPEC_Controlled_Terms,Online_Date,Publisher
The computer-related risk of the year: computer abuse,P. G. Neumann,"Menlo Park, CA, USA","Computer Assurance, 1988. COMPASS '88",06-Aug-02,1988,"The defensive technology required to combat the threats represented by computer attacks, especially upon computer-based systems intended to meet such requirements as human safety, reliability, guaranteed availability, and real-time responsiveness, is discussed. Three fundamental gaps between what computer security actually enforces and the way computer systems are used are identified and discussed: technological (computer mechanism versus computer policy), sociotechnological (computer policy) versus social policy, and sociological (social policy versus antisocial behavior). The potential for computer attacks is discussed, along with ways to defend against computer system misuses.<>",,"[Invasive software, Hardware, Computer networks, Telephony, Computer security, Access control, Information security, Computer science, Laboratories, Humans]","[computer installation, data privacy, security of data, social aspects of automation]",06-Aug-02,IEEE
Teaching and learning support for computer architecture and organization courses design on computer engineering and computer science for undergraduate: A review,"W. Kurniawan,  M. H. H. Ichsan","Computer Engineering, Brawijaya University, Malang, East Java, Indonesia,  Universitas Brawijaya, Malang, Jawa Timur, ID","2017 4th International Conference on Electrical Engineering, Computer Science and Informatics (EECSI)",25-Dec-17,2017,"Understanding computer system hardware is basic for the undergraduate student which study in the computer area. System user always needs a faster, cheap and reliable process which is conducted by it computer system self. To fulfill that process is required how a computer works from their design and how they operate. That course is conducted by Computer Architecture and Organization (CAO) course. Two computer undergraduate area which studies CAO is Computer Engineering (CE) and Computer Science (CS). To support great learning at CAO both CE and CS needs to not just study which has a material course but they had to practically study computer architecture and design by the simulator. Why simulator is chosen, because to create computer such as CPU, RAM etc. needs big systems that can manufacture them. Nowadays too much freely available simulator that can be downloaded and used anytime, but not all simulators meet study requirements and didn't meet the CAO Learning Outcome. CS and CE have an international curriculum that given by ACM Computing Curricula. So this paper is discussed what kind of simulator that meets Computing Curricula requirement to implement at learning process which helps the instructor to choose simulator that can be able to grasp knowledge that delivered to the student.","[Computer Organization and Architecture, Computer Engineering, Computer Science, Simulator]","[Organizations, Computer science, Standards organizations, Multicore processing, Instruction sets]","[computer aided instruction, computer science education, digital simulation, educational courses, software engineering, teaching]",25-Dec-17,IEEE
Introduction to the Reform on the Course of Fundamental Logic and Computer Design,"Q. Shi,  W. Hu,  S. Liu,  T. Chen","College of Computer Science, University of Zhejiang, Hangzhou, Zhejiang, China,  College of Computer Science, University of Zhejiang, Hangzhou, Zhejiang, China,  College of Computer Science, University of Zhejiang, Hangzhou, Zhejiang, China,  College of Computer Science, University of Zhejiang, Hangzhou, Zhejiang, China",2008 The 9th International Conference for Young Computer Scientists,12-Dec-08,2008,"With the development of computer science and technology, computer applications are gradually turning to structure design from code design. In order to improve computer performance and enhance the application level of computer architecture in software engineering, the college of Computer Science and Technology in Zhejiang University has proposed a teaching reform idea, in which Digital Logic, Computer Organization and Computer Architecture are associated with each other closely. This paper analyzes and summaries the reform on the course of Fundamental Logic and Computer Design, points out a few shortcomings in this reform, and also proposes corresponding solutions to them.","[Education reform, fundamental logic, computer design, computer education]","[Logic design, Computer science, Computer architecture, Computer applications, Turning, Computer performance, Application software, Software engineering, Educational institutions, Education]","[computer science education, educational courses, electronic engineering education, logic CAD, software engineering, teaching]",12-Dec-08,IEEE
Research and practice on computer talent training of Chinese college and university,Zhong Qu,"College of Computer Science & Technology, Chongqing University of Posts and Telecommunications, Chongqing, China",2011 International Conference on Computer Science and Service System (CSSS),04-Aug-11,2011,"Computer education in colleges and universities in China still can't meet the needs of the development of the computer industry, and how to establish computer education and training model under the current market economy mechanism, is the focus of attention. On how to train qualified personnel computer for local economic development, the article put forward a viable reform options. Set the curriculum to emphasize adherence to the principle of scientificity, practicality, dynamics, diversity and level, and handle the absorption and innovation, computer science and other subjects of the basic theory and new technology in three aspects. Pay attention to students in computer applications and innovative ability, closely into line with the social demand for professionals, which is the top priority of college computer training.","[computer talent, computer education, training model, Curriculum]","[Computers, Computational modeling, Training, Educational institutions, Computer science, Software engineering]","[computer based training, computer science education, educational institutions]",04-Aug-11,IEEE
Computational thinking and computer fundamental education,Lina Wang,"Shandong Institute of Business and Technology, Yantai, Shandong, China",2011 International Conference on Computer Science and Service System (CSSS),04-Aug-11,2011,"Computer basic education with computer science, and other subjects crossover study, their status has become unshakable. Current international computer science. Today, an important concept widely concerned over the field of computer science calculation thinking. His definition, characteristics and development and basic computer education inseparable, especially for basic computer course teaching practice in an important role.","[computer fundamental education, Computational Thinking, teaching model]","[Computers, Education, Computer science, Computational modeling, Business]","[computer science education, educational courses, teaching]",04-Aug-11,IEEE
Instructional Design of Computer System Fundamentals for Cultivating Students’ Computer System Ability,"X. Liu,  J. Tian,  Y. Li,  S. Xiong,  W. Rao,  J. Yuan","Computer Science and Technology, Wuhan University of Technology, Wuhan, China,  Computer Science and Technology, Wuhan University of Technology, Wuhan, China,  Computer Science and Technology, Wuhan University of Technology, Wuhan, China,  Computer Science and Technology, Wuhan University of Technology, Wuhan, China,  Computer Science and Technology, Wuhan University of Technology, Wuhan, China,  Computer Science and Technology, Wuhan University of Technology, Wuhan, China",2021 16th International Conference on Computer Science & Education (ICCSE),21-Oct-21,2021,"Many undergraduate students majoring in computer science (CS) can not clearly state the complete execution process of a C program in a computer system, although they have learned many CS courses such as programming, assembly and circuits when they graduate. The reason for this phenomenon is because they lack the computer system perspective and cannot integrate the knowledges of different courses. To solve this problem, we opened a new course computer system fundamentals (CSF) aiming to enable the students to understand how each statement of the C program realizes its functionality by assemble codes (ACs), how these ACs are converted into the machine codes (MCs), how the MCs are stored in the memory system, how these MCs are loaded into CPUs, and how the CPUs execute the MCs. This course can help the students integrate the knowledge of programming, assembly, machine code, instruction set, digital logic and circuits, thereby making them establish a full-stack computer system perspective, build the hardware and software co-optimization thinking, and also improve the ability to solve the complex engineering problems. This course has been teaching in the Internet of Things Engineering major for 4 years, and the course survey result proves it has improved the students’ CSA effectively.","[instructional design, computer system fundamental, computer system ability]","[Knowledge engineering, Codes, Instruction sets, Education, Computer architecture, Software, Hardware]","[computer aided instruction, computer science education, educational courses, Internet of Things, teaching]",21-Oct-21,IEEE
A Courses Ontology System for Computer Science Education,"Y. Wang,  Z. Wang,  X. Hu,  T. Bai,  S. Yang,  L. Huang","College of computer science and technology, Jilin University, Changchun, China,  College of computer science and technology, Jilin University, Changchun, China,  College of computer science and technology, Jilin University, Changchun, China,  College of computer science and technology, Jilin University, Changchun, China,  College of computer science and technology, Jilin University, Changchun, China,  College of computer science and technology, Jilin University, Changchun, China",2019 IEEE International Conference on Computer Science and Educational Informatization (CSEI),23-Dec-19,2019,"A computer knowledge system plays a crucial role in computer education owing to the diversification and speedy development of computer courses. There are many curriculum resources, especially in China, but most of them are relatively independent and cannot guide students to acquire more knowledge which is relevant to this course directly. To relieve these issues, in this paper, we propose an ontology system for the computer course architecture (OSCCA) to instruct, guide, and direct students efficient learning. OSCCA collects undergraduate course catalogs from the twenty famous Chinese universities and some network education websites. Then course entities and their interrelationships are culled to build Chinese course ontology. Based on these roles, OSCCA can provide effectively and contributed learning guidance to the fresh learner and OSCCA is developed by Java.","[computer education, Computer course architecture, ontology viewing, computer ontology system]","[Ontologies, Java, Cognition, Computer architecture, Data mining, Natural language processing]","[computer aided instruction, computer science education, educational courses, educational institutions, Java, ontologies (artificial intelligence), Web sites]",23-Dec-19,IEEE
Discussion of Models and Developing Technique of Multimedia Computer Aided Instruction,"K. Minyi,  J. Huazhong,  F. Shangling","School of Computer, Hubei University of Technology, Wuhan, China,  School of Computer, Hubei University of Technology, Wuhan, China,  College of Bioengineering, Hubei University of Technology, Wuhan, China",2010 Second International Workshop on Education Technology and Computer Science,06-May-10,2010,"This paper is concerned with the developing technique and the pattern of multimedia CAI (Computer Aided Instruction). The process involves educational psychology, computer science, experts system and artificial intelligence. The computer is mainly used to show teaching goal and content,  note students' studying status or control the studying schedule. All steps through teaching must be true of the pedagogical theory and technique,  involve multimedia computer technology and modern instructional theory. Therefore, we can accomplish teaching assignment with high efficiency. This paper can play an important role on the design of this kind of software.","[computer, teaching, educational psychology, multimedia courseware]","[Computer aided instruction, Negative feedback, Computer science, Psychology, Computer science education, Educational institutions, Communication system control, Control systems, Visualization, Computer displays]","[artificial intelligence, computer aided instruction, computer science education, expert systems, multimedia systems, psychology]",06-May-10,IEEE
The Design and Implementation of Visual Experiment Environment for Computer Principle and Interface Technology Curriculum,"J. Anquan,  G. Dengwen,  L. Gang","College of Computer Information & Engineering, Jiangxi Normal University, Nanchang, Jiangxi, China,  College of Computer Information & Engineering, Jiangxi Normal University, Nanchang, Jiangxi, China,  College of Computer Information & Engineering,Software College, Jiangxi Normal University, Nanchang, Jiangxi, China",2008 International Conference on Computer Science and Software Engineering,22-Dec-08,2008,"Building hardware visual experiment environment (VEE) by software technic is an efficient way to improving the efficiency of computer hardware teaching and experiment design. This paper based on the computer principle & interface technology curriculum CAI, the concept and features of VEE is presented at first, and then some principles and tactics are summarized in building VEE. The implementation of VEE for computer principle & interface technology curriculum shows the efficiency and practicality of VEE technology in CAI system.","[CAI, Computer Principle & Interface Technology, Visual Experiment Enviroment (VEE)]","[Computer interfaces, Computer aided instruction, Hardware, Computer simulation, Computational modeling, Courseware, Educational technology, Computer science education, Virtual environment, Programming profession]","[computer aided instruction, computer science education, teaching]",22-Dec-08,IEEE
Application and education of computer for special people,"X. Sun,  F. Zhao,  X. Luo,  X. Ren","Shandong Computer Science Center, Jinan, China,  Shandong Computer Science Center, Jinan, China,  Shandong Computer Science Center, Jinan, China,  Shandong Computer Science Center, Jinan, China",2009 4th International Conference on Computer Science & Education,01-Sep-09,2009,"The thesis roughly classifies the special people into several kinds from the perspective of computer, analyzes the situation and demands of each special kind of people and propose education,  training methods and measures in compliance with different kinds of special people to improve their life and work quality, The thesis also proposes that it is necessary for common people to produce ldquospecial computer to adapt to different kinds of special people and provide them with the opportunity of employment so as to make them join in the development and application of computer.","[Special people, Education of Computer, Application of Computer]","[Application software, Computer science education, Educational institutions, Computer science, Pediatrics, Sun, Employment, Computer applications, Diseases, Muscles]",[computer aided instruction],01-Sep-09,IEEE
